"job_name";"taxonomy";"coverage";"specificity";"accessions";"eligible";"match";"mismatch";"nodata";"outgroup_matchable";"outgroup_matched"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Geoarchaeales;SCGC AAA261-C22;";"0.0";"0";"10";"10";"0";"10";"0";"414905";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Geoarchaeales;SCGC AAA471-B05;";"0.0";"0";"3";"2";"0";"2";"1";"414913";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;";"0.0";"0";"211";"180";"0";"180";"31";"414735";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;";"0.0";"0";"211";"180";"0";"180";"31";"414735";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus;";"0.0";"0";"27";"22";"0";"22";"5";"414893";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Metallosphaera;";"0.0";"0";"46";"39";"0";"39";"7";"414876";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Saccharolobus;";"0.0";"0";"51";"43";"0";"43";"8";"414872";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Stygiolobus;";"0.0";"0";"18";"17";"0";"17";"1";"414898";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;";"0.0";"0";"35";"31";"0";"31";"4";"414884";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfurisphaera;";"0.0";"0";"4";"4";"0";"4";"0";"414911";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;uncultured;";"0.0";"0";"25";"20";"0";"20";"5";"414895";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Terrestrial Miscellaneous Gp(TMCG);";"0.0";"0";"10";"3";"0";"3";"7";"414912";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;";"0.0";"0";"156";"118";"0";"118";"38";"414797";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;";"0.0";"0";"46";"25";"0";"25";"21";"414890";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;";"0.0";"0";"46";"25";"0";"25";"21";"414890";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;";"0.0";"0";"110";"93";"0";"93";"17";"414822";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Caldivirga;";"0.0";"0";"5";"3";"0";"3";"2";"414912";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;";"0.0";"0";"32";"29";"0";"29";"3";"414886";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Thermocladium;";"0.0";"0";"7";"6";"0";"6";"1";"414909";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Thermoproteus;";"0.0";"0";"9";"9";"0";"9";"0";"414906";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Vulcanisaeta;";"0.0";"0";"31";"26";"0";"26";"5";"414889";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;uncultured;";"0.0";"0";"18";"16";"0";"16";"2";"414899";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;uncultured;";"0.0";"0";"3";"1";"0";"1";"2";"414914";"6"
